,job_title,job_date,comp_name,comp_no,comp_type,comp_size,eco_activity,qualif,region,city,benefits,contract,positions,job_post_id,experience in years,gender,Salary
268,معلم مرحلة متوسطة حاسب آلي,19/04/1444,مدارس جيل الريادة الاهلية,1-126168,خاص,صغيرة فئة ب,التعليم المتوسط للطلاب بمنهج وطني,"['Skill data', 'الحاسب الالي', 'محترف', 'Language data', 'انجليزي', 'متوسط', 'Professional certificate \\ License data', 'صلاحية معلم حاسب', 'ضروري']",الرياض,AR RIYADH...,"['Salary', '5000.0']",دوام كامل,0 / 1,20202026268109,0,Male,5000.0
269,معلم ابتدائي حاسب آلي,19/04/1444,مدارس جيل الريادة الاهلية,1-126168,خاص,صغيرة فئة ب,التعليم المتوسط للطلاب بمنهج وطني,"['Skill data', 'الحاسب الالي', 'متوسط', 'Language data', 'انجليزي', 'متوسط', 'Professional certificate \\ License data', 'صلاحية معلم حاسب', 'ضروري']",الرياض,AR RIYADH...,"['Salary', '5000.0']",دوام كامل,0 / 1,20202026268096,0,Male,5000.0
270,بائع ملابس جاهزة,19/04/1444,شركة الزاهد للتجارة والتنميه العقاريه المحدوده,9-49748,خاص,صغيرة فئة ب,البيع بالتجزئة للملابس الرياضية,Unknown,مكة المكرمة,JEDDAH...,"['Salary', '4000.0']",دوام كامل,0 / 1,20202026268017,0,Male,4000.0
271,فني كهربائي تمديدات كهربائية,19/04/1444,شركة الهضب للتجارة والمقاولات,1-306283,خاص,متوسطة فئة ب,رعاية وصيانة المنتزهات والحدائق لأغراض الإسكان العام,"['Professional certificate \\ License data', 'اعتماد الهيئة السعودية للمهندسين ', 'ضروري']",مكة المكرمة,JEDDAH...,"['Salary', '5000.0', 'Benefits', 'تأمين طبي']",دوام كامل,0 / 5,20202026257750,0,Male,5000.0
272,بائع,19/04/1444,مؤسسة لقمة لتقديم الوجبات,1-2488362,خاص,صغيرة فئة ب,المطاعم مع الخدمة,"['Skill data', 'التواصل مع العملاء', 'متوسط', 'Language data', 'العربية', 'متوسط', 'Professional certificate \\ License data', 'شهادة صحية', 'ضروري']",الرياض,AR RIYADH...,"['Salary', '4375.0']",دوام كامل,0 / 1,20202026247741,0,Male,4375.0
273,أخصائي خدمة عملاء,18/04/1444,شركه روائع ابداعيه للتدريب المهني,EST-1493,شبه حكومية,كبيرة,المطاعم مع الخدمة,Unknown,المنطقة الشرقية,ABRAQIYAH...,"['Salary', '6000.0']",دوام كامل,0 / 7,20202026247681,0,Both,6000.0
274,أخصائي أسرة وطفولة,16/04/1444,جمعية بناء للإرشاد الأسري,EST-1619,شبه حكومية,كبيرة,المطاعم مع الخدمة,Unknown,المدينة المنورة,AL MADINA...,"['Salary', '4000.0']",دوام كامل,0 / 2,20202026247680,0,Female,4000.0
275,محامي,15/04/1444,شركة أسيس يور للمحاماة والاستشارات القانونية,1-2268186,خاص,صغيرة فئة أ,أنشطة المحاماة والاستشارات القانونية,"['Skill data', 'مهارة في العمل', 'محترف', 'مهارة في التخصص', 'متوسط', 'Language data', 'العربية', 'متوسط', 'Professional certificate \\ License data', 'بكالريوس', 'ضروري']",الرياض,AR RIYADH...,"['Salary', '5000.0', 'Benefits', 'الراتب شامل']",دوام كامل,0 / 1,20202026247606,4,Male,5000.0
276,سائق شاحنة ثقيلة,15/04/1444,مصنع وائل حسن فارسي للغازات الصناعية,10-1507992,خاص,صغيرة فئة ب,صناعة المطهرات للاستخدام الزراعي,"['Professional certificate \\ License data', 'رخصة نقل ثقيل', 'ضروري']",المدينة المنورة,AL MADINA...,"['Salary', '5000.0']",دوام كامل,0 / 4,20202026247563,2,Male,5000.0
277,مهندس كهربائي,15/04/1444,مصنع وائل حسن فارسي للغازات الصناعية,10-1507992,خاص,صغيرة فئة ب,صناعة المطهرات للاستخدام الزراعي,Unknown,المدينة المنورة,AL MADINA...,"['Salary', '5000.0']",دوام كامل,0 / 2,20202026247556,2,Both,5000.0
